Date,Confirmed,Deaths,Recovered,Total
22/01/20,555,17,28,600
23/01/20,654,18,30,702
24/01/20,941,26,35,1002
25/01/20,1434,42,38,1514
26/01/20,2118,56,51,2225
27/01/20,2923,82,58,3063
28/01/20,5578,131,103,5812
29/01/20,6166,133,120,6419
30/01/20,8234,171,136,8541
31/01/20,9927,213,209,10349
01/02/20,12038,259,267,12564
02/02/20,16787,362,447,17596
03/02/20,19881,426,590,20897
04/02/20,23892,492,804,25188
05/02/20,27635,564,1050,29249
06/02/20,30794,634,1391,32819
07/02/20,34391,719,1871,36981
08/02/20,37120,806,2429,40355
09/02/20,40150,906,3015,44071
10/02/20,42762,1013,3658,47433
11/02/20,44802,1113,4365,50280
12/02/20,46729,1118,4789,52636
13/02/20,60368,1371,5876,67615
14/02/20,66885,1523,7527,75935
15/02/20,69030,1666,8769,79465
16/02/20,71224,1770,10163,83157
17/02/20,73258,1868,11780,86906
18/02/20,75136,2007,13484,90627
19/02/20,75639,2122,15181,92942
20/02/20,76197,2247,17125,95569
21/02/20,76819,2251,17669,96739
22/02/20,78572,2458,21515,102545
23/02/20,78958,2469,21937,103364
24/02/20,79561,2629,23669,105859
25/02/20,80406,2708,26260,109374
26/02/20,81388,2770,28683,112841
27/02/20,82747,2814,31507,117068
28/02/20,84111,2872,34875,121858
29/02/20,86012,2941,37861,126814
01/03/20,88370,2996,40717,132083
02/03/20,90305,3085,43575,136965
03/03/20,92840,3160,46162,142162
04/03/20,95120,3254,49090,147464
05/03/20,97886,3348,51700,152934
06/03/20,101801,3460,53743,159004
07/03/20,105847,3558,56220,165625
08/03/20,109821,3802,58543,172166
09/03/20,113595,3988,60324,177907
10/03/20,118622,4262,62226,185110
11/03/20,125868,4615,64820,195303
12/03/20,128352,4720,66135,199207
13/03/20,145205,5404,68054,218663
14/03/20,156101,5819,70423,232343
15/03/20,167454,6440,73827,247721
16/03/20,181574,7126,75874,264574
17/03/20,197102,7905,78625,283632
18/03/20,214821,8733,81093,304647
19/03/20,242572,9867,82755,335194
20/03/20,272114,11297,85195,368606
21/03/20,304483,12973,89463,406919
22/03/20,336913,14650,95666,447229
23/03/20,378231,16505,96119,490855
24/03/20,417967,18624,105659,542250
25/03/20,467653,21181,111372,600206
26/03/20,529591,23970,119732,673293
27/03/20,593291,27198,128421,748910
28/03/20,660693,30652,136710,828055
29/03/20,720310,33929,146376,900615
30/03/20,782393,37582,161843,981818
31/03/20,857313,42104,174154,1073571
01/04/20,932475,47183,189549,1169207
02/04/20,1013324,52986,206216,1272526
03/04/20,1095696,58790,221292,1375778
04/04/20,1175855,64607,241229,1481691
05/04/20,1249482,69374,254609,1573465
06/04/20,1321129,74565,270836,1666530
07/04/20,1396090,81937,293744,1771771
08/04/20,1480286,88362,321928,1890576
09/04/20,1564792,95506,346098,2006396
10/04/20,1657524,102534,367460,2127518
11/04/20,1735647,108511,392670,2236828
12/04/20,1835384,114121,411718,2361223
13/04/20,1904170,119470,437897,2461537
14/04/20,1975192,125995,462903,2564090
15/04/20,2055054,134189,498675,2687918
16/04/20,2151418,143814,528873,2824105
17/04/20,2239141,153835,554030,2947006
18/04/20,2316713,159509,577518,3053740
19/04/20,2400073,165043,608006,3173122
20/04/20,2471242,169985,628875,3270102
21/04/20,2548086,176582,662089,3386757
22/04/20,2623044,183064,690384,3496492
23/04/20,2707723,190857,718427,3617007
24/04/20,2809495,197004,768349,3774848
25/04/20,2896739,202844,794978,3894561