Year,Bacteria,Chemicals,Biotoxins,Virus,Others,Total
2000,266,7,25,0,110,408
2000,376,13,34,0,61,484
2000,949,19,34,0,30,1032
2000,375,81,17,0,55,528
2001,447,12,16,212,18,705
2001,608,28,31,156,20,843
2001,715,28,34,3,10,790
2001,312,22,4,22,9,369
2002,295,17,17,71,4,404
2002,589,9,18,12,7,635
2002,1041,15,40,45,17,1158
2002,279,25,25,107,7,443
2003,304,9,6,133,0,452
2003,187,0,31,0,3,221
2003,780,1,31,7,3,822
2003,580,1,24,130,0,735
2004,265,7,121,224,24,641
2004,461,0,54,12,14,541
2004,1058,15,108,13,6,1200
2004,657,2,54,34,2,749
2005,623,8,81,178,5,895
2005,769,23,113,151,0,1056
2005,1090,15,21,23,0,1149
2005,356,4,27,114,0,501
2006,1046,13,33,525,2,1619
2006,660,11,25,110,0,806
2006,1065,5,25,66,0,1161
2006,447,8,36,67,0,558
2007,326,20,9,108,7,470
2007,331,5,37,36,6,415
2007,790,18,14,9,0,831
2007,242,6,11,16,1,276
2008,248,5,18,102,3,376
2008,598,13,38,31,15,695
2008,888,0,27,98,53,1066
2008,371,13,14,10,2,410
2009,263,0,20,117,0,400
2009,214,8,17,15,0,254
2009,457,6,19,33,0,515
2009,347,1,10,13,0,371
2010,136,3,5,33,4,181
2010,325,0,42,0,2,369
2010,299,0,35,2,6,342
2010,141,4,1,18,0,164
2011,283,1,16,33,0,333
2011,229,1,34,32,0,296
2011,340,0,20,5,0,365
2011,201,2,10,75,2,290
2012,335,1,8,84,0,428
2012,197,1,16,3,0,217
2012,349,0,10,94,0,453
2012,334,3,10,84,0,431
2013,212,1,8,91,0,312
2013,208,1,39,17,0,265
2013,306,0,11,10,0,327
2013,172,9,6,85,0,272
2014,99,0,8,181,0,288
2014,234,2,8,10,2,256
2014,227,0,11,3,0,241
2014,279,1,3,66,0,349
2015,181,7,4,92,22,306
2015,120,0,19,37,1,177
2015,415,10,6,12,0,443
2015,143,0,8,0,0,151
2016,186,0,5,127,6,324
2016,209,2,13,37,0,261
2016,283,8,20,12,0,323
2016,125,3,5,43,0,176
2017,55,3,17,88,2,165
2017,143,1,19,19,3,185
2017,275,3,4,33,6,321
2017,166,0,3,43,0,212
2018,119,2,6,94,10,231
2018,121,1,9,20,5,156
2018,152,6,8,33,3,202
2018,96,3,4,23,0,126
2019,272,0,12,36,12,332
2019,186,0,18,7,15,226
2019,158,0,12,0,2,172
2019,76,0,5,16,19,116